;Item;Patrimônio;Sit. Física;Valor de Aquisição;Valor Bruto Atual;Descrição
;500;00010038;INSERVÍVEL;2599,3;2599,3;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: PROCESSADOR INTEL CORE I5. 14 POLEGADAS. MEMÓRIA RAM: 4GB. HD: 500GB. COR PRETA. - MARCA: HP - MODELO: B080BR - SERIE: BRG339FBX1
"
;501;00010059;INSERVÍVEL;488;48,8;"BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: DE PÉ COM DUAS TORNEIRAS (COLUNA) - MARCA: ESMALTEC - MODELO: BNCC 7B - SERIE: 05062131021117
"
;502;00010074;INSERVÍVEL;140,58;61,83;"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA. - MARCA: TRAMONTINA - MODELO: BALI
"
;503;00010077;INSERVÍVEL;140,58;61,83;"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA. - MARCA: TRAMONTINA - MODELO: BALI
"
;504;00010079;INSERVÍVEL;140,58;61,83;"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA. - MARCA: TRAMONTINA - MODELO: BALI
"
;505;00010171;INSERVÍVEL;1990;1990;"RELOGIO DE PONTO BIOMETRICO - DESCRICAO: SISTEMA DE IMPRESSÃO COM CORTE DE PAPEL, RECURSO DE NOBREAK, CALENDÁRIO PERPÉTUO, CAPACIDADE DE CADASTRAMENTO DE INFORMAÇÕES DO EMPREGADOR, LOCAL DE TRABALHO E FUNCIONÁRIOS (1 A 10 DIGITAIS POR PESSOA), HOMOLOGADO DE ACORDO COM A PORTARIA NO 1.510/2009 MTE. - MARCA: HENRY - MODELO: SUPERFÁCIL R02 - SERIE: 00004001900024875
"
;506;00010187;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;507;00010189;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZZD010357
"
;508;00010201;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZEX010340
"
;509;00010204;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZYM010354
"
;510;00010206;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZMV010387
"
;511;00010208;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 408BZDQ003050
"
;512;00010212;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZRK010374
"
;513;00010214;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZVL010423
"
;514;00010217;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZAH010368
"
;515;00010222;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 408BZWB003057
"
;516;00010223;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 408BZSN002998
"
;517;00010226;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZBJ009245
"
;518;00010228;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZEX010364
"
;519;00010231;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 408BZHC003041
"
;520;00010235;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 408BZAH003056
"
;521;00010239;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 407BZRK010398
"
;522;00010247;INSERVÍVEL;3187;987,74;"ULTRABOOK COM PROCESSADOR DE DADOS - DESCRICAO: INTEL CORE I5, 14 POLEGADAS, MEMÓRIA RAM: 4GB, HD: 32GB SSD + 500GB, COR: PRATA. - MARCA: LG - MODELO: U460 - SERIE: 408BZPS003016
"
;523;00010251;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NY86
"
;524;00010254;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NT7M
"
;525;00010262;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NW7V
"
;526;00010263;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NR9Q
"
;527;00010275;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NZ9E
"
;528;00010279;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NG59
"
;529;00010283;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NQ68
"
;530;00010285;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97P12Z
"
;531;00010288;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NX6T
"
;532;00010290;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97P310
"
;533;00010291;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NQ7D
"
;534;00010292;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NZ74
"
;535;00010294;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NV23
"
;536;00010298;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NZ3K
"
;537;00010300;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NX14
"
;538;00010301;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NT32
"
;539;00010306;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NG9T
"
;540;00010320;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NZ89
"
;541;00010321;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NV38
"
;542;00010323;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97P11U
"
;543;00010325;INSERVÍVEL;1874;580,94;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I5 - 4200M (2,5 GHZ). MEMÓRIA 4GB. TELA DE 14,1 POLEGADAS LED FORMATO WIDESCREEN. - MARCA: POSITIVO - SERIE: 1AC97NR3W
"
;544;00010381;INSERVÍVEL;577;386,48;"NO BREAK . - DESCRICAO: BIFÁSICO. 1,4KVA. COM ESTABILIZADOR INTERNO. - MARCA: RAGTECH - MODELO: 1400N - SERIE: 341314240067
"
;545;00010383;INSERVÍVEL;577;386,48;"NO BREAK . - DESCRICAO: BIFÁSICO. 1,4KVA. COM ESTABILIZADOR INTERNO. - MARCA: RAGTECH - MODELO: 1400N - SERIE: 341314200061
"
;546;00010385;INSERVÍVEL;577;386,48;"NO BREAK . - DESCRICAO: BIFÁSICO. 1,4KVA. COM ESTABILIZADOR INTERNO. - MARCA: RAGTECH - MODELO: 1400N - SERIE: 341314240064
"
;547;00010388;INSERVÍVEL;577;386,48;"NO BREAK . - DESCRICAO: BIFÁSICO. 1,4KVA. COM ESTABILIZADOR INTERNO. - MARCA: RAGTECH - MODELO: 1400N - SERIE: 341314440075
"
;548;00010410;INSERVÍVEL;545,96;242,93;"IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA. IMPRESSÃO EM DUPLEX. - MARCA: SAMSUNG - MODELO: M4020ND - SERIE: ZERAQYBQAFA002AQK
"
;549;00010446;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842151303630
"
;550;00010447;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842151503250
"
;551;00010448;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842150503300
"
;552;00010449;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842151303580
"
;553;00010450;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842151303620
"
;554;00010452;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842150503240
"
;555;00010454;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842151303570
"
;556;00010455;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842150503270
"
;557;00010457;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842150403200
"
;558;00010458;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842150503340
"
;559;00010460;INSERVÍVEL;577;421,12;"NO BREAK . - DESCRICAO: TRIFÁSICO. 1,4 KVA. COM ESTABILIZADOR INTERNO E DISPLAY DIGITAL. - MARCA: RAGTECH - MODELO: SWU/BS-TI - SERIE: 3842150503320
"
;560;00010466;INSERVÍVEL;582,81;429,86;"MOTO BOMBA CENTRIFUGA - DESCRICAO: POTÊNCIA DE 1/2 CV. 127V. 60HZ. RECALQUE 3/4. - MARCA: SCHNEIDER - MODELO: ASP-98 - SERIE: 15G87-13-00081A
"
;561;00010467;INSERVÍVEL;374,9;374,9;"FORNO DE MICROONDAS - DESCRICAO: 30 LITROS. 127V. POTÊNCIA: 1250W. COR BRANCA. - MARCA: LG - MODELO: MS3044L - SERIE: 501AZBZBG093
"
;562;00010471;INSERVÍVEL;154,43;154,43;"BANQUETA EM COURVIM - DESCRICAO: ALTA. SEM ENCOSTO. COM APOIO PARA PÉS. COR PRETA. - MARCA: SHOPPING DO ESCRITOR
"
;563;00010473;INSERVÍVEL;154,43;154,43;"BANQUETA EM COURVIM - DESCRICAO: ALTA. SEM ENCOSTO. COM APOIO PARA PÉS. COR PRETA. - MARCA: SHOPPING DO ESCRITOR
"
;564;00010474;INSERVÍVEL;154,43;154,43;"BANQUETA EM COURVIM - DESCRICAO: ALTA. SEM ENCOSTO. COM APOIO PARA PÉS. COR PRETA. - MARCA: SHOPPING DO ESCRITOR
"
;565;00010475;INSERVÍVEL;154,43;154,43;"BANQUETA EM COURVIM - DESCRICAO: ALTA. SEM ENCOSTO. COM APOIO PARA PÉS. COR PRETA. - MARCA: SHOPPING DO ESCRITOR
"
;566;00010480;INSERVÍVEL;816,68;314,41;"IMPRESSORA TÉRMICA - SERIE: 13011001 - MARCA: ELGIN - MODELO: L42 - DESCRICAO: PARA IMPRESSÃO DE ETIQUETAS. ENTRADA USB.
"
;567;00010489;INSERVÍVEL;163;163;"CADEIRA FIXA S/BRAÇO - DESCRICAO: COM ASSENTO E ENCOSTO EM POLIPROPILENO. COR PRETA. - MARCA: FLEXFORM - MODELO: MIMI
"
;568;00010588;INSERVÍVEL;1059,99;646,59;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. IMPRESSÃO MONOCROMÁTICA EM RESOLUÇÃO 1200 X 1200 DPI. MODO DUPLEX INTEGRADO. COM FUNÇÕES DE CÓPIA, DIGITALIZAÇÃO E ENVIO DE FAX. - MARCA: LEXMARK - MODELO: MX310DN - SERIE: 701545LM0KT40
"
;569;00010589;INSERVÍVEL;1059,99;646,59;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. IMPRESSÃO MONOCROMÁTICA EM RESOLUÇÃO 1200 X 1200 DPI. MODO DUPLEX INTEGRADO. COM FUNÇÕES DE CÓPIA, DIGITALIZAÇÃO E ENVIO DE FAX. - MARCA: LEXMARK - MODELO: MX310DN - SERIE: 701544LM0K84B
"
;570;00010592;INSERVÍVEL;1059,99;646,59;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. IMPRESSÃO MONOCROMÁTICA EM RESOLUÇÃO 1200 X 1200 DPI. MODO DUPLEX INTEGRADO. COM FUNÇÕES DE CÓPIA, DIGITALIZAÇÃO E ENVIO DE FAX. - MARCA: LEXMARK - MODELO: MX310DN - SERIE: 701544LM0K0PN
"
;571;00010594;INSERVÍVEL;1059,99;646,59;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. IMPRESSÃO MONOCROMÁTICA EM RESOLUÇÃO 1200 X 1200 DPI. MODO DUPLEX INTEGRADO. COM FUNÇÕES DE CÓPIA, DIGITALIZAÇÃO E ENVIO DE FAX. - MARCA: LEXMARK - MODELO: MX310DN - SERIE: 701544LM0K848
"
;572;00010596;INSERVÍVEL;1059,99;646,59;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. IMPRESSÃO MONOCROMÁTICA EM RESOLUÇÃO 1200 X 1200 DPI. MODO DUPLEX INTEGRADO. COM FUNÇÕES DE CÓPIA, DIGITALIZAÇÃO E ENVIO DE FAX. - MARCA: LEXMARK - MODELO: MX310DN - SERIE: 701544LM0K873
"
;573;00010600;INSERVÍVEL;1059,99;630,69;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. IMPRESSÃO MONOCROMÁTICA EM RESOLUÇÃO 1200 X 1200 DPI. MODO DUPLEX INTEGRADO. COM FUNÇÕES DE CÓPIA, DIGITALIZAÇÃO E ENVIO DE FAX. - MARCA: LEXMARK - MODELO: MX310DN - SERIE: 701545LM0KT9Y
"
;574;00010605;INSERVÍVEL;1900;1387;"AUTOMATIZADOR DE PORTAO INDUSTRIAL - DESCRICAO: TIPO HÍBRIDO. POTÊNCIA NOMINAL DE 245W. ALIMENTAÇÃO: 220V/127V. TRIFÁSICO. FREQUÊNCIA 60HZ. - MARCA: CONDOMINIUM - MODELO: JET FLEX
"
;575;00010606;INSERVÍVEL;0,01;0,01;"CENTRAL DE AR CONDICIONADO - DESCRICAO: 60.000 BTUS. - MARCA: YORK
"
;576;00010609;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA.. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011198
"
;577;00010616;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011571
"
;578;00010617;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011560
"
;579;00010618;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011574
"
;580;00010624;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011572
"
;581;00010625;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011567
"
;582;00010626;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011563
"
;583;00010628;INSERVÍVEL;340;340;"NO BREAK . - DESCRICAO: POTÊNCIA DE 1,4 KVA. BIVOLT. COM ESTABILIZADOR INTERNO. PORTA-FUSÍVEL COM UNIDADE RESERVA. - MARCA: SERRANA - MODELO: PINOT 1400 3Q L/1 - SERIE: 011566
"
;584;00010655;INSERVÍVEL;85;85;"TECLADO PARA MICROCOMPUTADOR - DESCRICAO: COM LEITOR DE SMART CARD. PADRÃO ABNT 2 USB. - MARCA: HP - MODELO: TOUCH SMART 9100 - SERIE: BDBSP0DGA9V0WB
"
;585;00010660;INSERVÍVEL;3635;3635;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE I7-6700T. MEMÓRIA: 8GB DDR4. DISCO RÍGIDO DE 1TB. - MARCA: HP - MODELO: ELITEDESK 800 G2 DM
"
;586;00010662;INSERVÍVEL;85;85;"TECLADO PARA MICROCOMPUTADOR - DESCRICAO: COM LEITOR DE SMART CARD. PADRÃO ABNT 2 USB. - MARCA: HP - MODELO: TOUCH SMART 9100 - SERIE: BDBSP0DGA9V2BN
"
;587;00010680;INSERVÍVEL;732;732;"MONITOR DE VIDEO LCD - DESCRICAO: 24 POLEGADAS. RESOLUÇÃO MÁXIMA: 1920 X 1080 (FULL HD). 60 HZ. COR BRANCA. - MARCA: PHILIPS - MODELO: C240P4QPYEW - SERIE: AU3A1346000123
"
;588;00010691;INSERVÍVEL;732;732;"MONITOR DE VIDEO LCD - DESCRICAO: 24 POLEGADAS. RESOLUÇÃO MÁXIMA: 1920 X 1080 (FULL HD). 60 HZ. COR BRANCA. - MARCA: PHILIPS - MODELO: C240P4QPYEW - SERIE: AU3A1410000478
"
;589;00010750;INSERVÍVEL;3214;3214;"CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT. POTÊNCIA DE 30 MIL BTU'S. TIPO FRIO. COM CONTROLE REMOTO SEM FIO. VOLTAGEM: 220V. COR BRANCA. UNIDADE EXTERNA: A16045328115W00249. - MARCA: ELGIN - MODELO: HEFE30B2IA - SERIE: B28475328115N00070
"
;590;00010751;INSERVÍVEL;1702,14;1702,14;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT. POTÊNCIA DE 18 MIL BTU'S. TIPO FRIO. COM CONTROLE REMOTO SEM FIO. VOLTAGEM: 220V. COR BRANCA. UNIDADE EXTERNA: A16026072606W00204. - MARCA: ELGIN - MODELO: HEFE18B2IA - SERIE: B2B8436072606N01004
"
;591;00010780;INSERVÍVEL;639,95;639,95;"MOTO BOMBA CENTRIFUGA - DESCRICAO: POTÊNCIA DE 3/4 CV. 60HZ. RPM 3500. VAZÃO MÁXIMA DE 5,1 M³/H. VOLTAGEM 127V. - MARCA: SCHNEIDER - MODELO: BCR-2010 - SERIE: 16G87-08-00146R
"
;592;00010787;INSERVÍVEL;5992;5992;"CENTRAL DE AR CONDICIONADO - DESCRICAO: POTÊNCIA 60.000BTUS. COR BRANCA. UNIDADE EXTERNA: 03065854  - MARCA: ELGIN, 220V -TRIFÁSICO - PEFI60B2NA - MARCA: ELGIN - MODELO: R-410A - SERIE: 03130264
"
