Item,Patrimônio,Nº Antigo,Garantia,Marca,Modelo,Série,Descrição
63,3904,,30/10/2002 a 30/10/2003,LG,EC-971B,864,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
64,3909,,30/10/2002 a 30/10/2003,LG,EC-971B,847,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
65,3911,,30/10/2002 a 30/10/2003,SONY,,0100/LT1G028146,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS - DESCRICAO: CONECTOR RJ45
66,3913,,07/11/2002 a 30/10/2003,WCM,,,"ARMARIO ALTO EM ACO - DESCRICAO: COM 2 PORTAS COM PRATELEIRAS INTERNAS REFORÇADAS, MED. APROX. 2.00X0,40X1,00, COR CINZA"
67,3977,,11/11/2002 a 11/11/2003,SPRINGER,,430B301124,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 30.000 BETUS 220 WATS
68,4013,,12/12/2002 a 08/12/2003,NETRIX,38BR,205PX05495,"SCANNER DE MESA - DESCRICAO: EASYSCAN 450P,19200DPI"
69,4038,,16/01/2003 a 07/02/2005,IBM,,78LVL75,CPU DO SERVIDOR E SERVER 342 PIII
70,4039,,16/01/2003 a 07/02/2005,IBM,,2309959,SWITCH SERVER - DESCRICAO: KVM
71,4043,,22/01/2003 a 13/01/2004,HP,500,SG24532087,"IMPRESSORA JATO DE TINTA - DESCRICAO: TIPO PLOTTER. PRÓPRIA PARA PARA DESENHOS DE ARQUITETURA, ENGENHARIA E MECÂNICA. MEMÓRIA PADRÃO 16MB. RESOLUÇÃO MÁXIMA 1200 X 600 DPI. DIMENSÕES (LARGURA X ALTURA X PROFUNDIDADE): 1690 X 1100 X 674 MM."
72,4094,,04/02/2003 a 22/01/2004,ERGOFLEX,5003,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
73,4120,,04/02/2003 a 22/01/2004,ERGOFLEX,5003,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
74,4124,,04/02/2003 a 22/01/2004,ERGOFLEX,5003,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
75,4125,,04/02/2003 a 22/01/2004,ERGOFLEX,5003,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
76,4142,,17/02/2003 a 23/01/2004,CADERODE,1516,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M"
77,4150,,17/02/2003 a 23/01/2004,CADERODE,1516,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M"
78,4158,,17/02/2003 a 23/01/2004,CADERODE,1516,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M"
79,4164,,04/02/2003 a 22/01/2004,SPRINGER,,033B10975,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30.000 BTUS
80,4231,,26/05/2003 a 26/05/2004,,,,"RACK EM ACO PARA HUB - DESCRICAO: PORTA EM ACRÍLICO, DE PAREDE, PARA HUB DE PORTAS."
81,4291,,11/07/2003 a 11/07/2004,CONSUL,,JF3273309,REFRIGERADOR TIPO RESIDENCIAL
82,4299,,,,,,"ARMARIO SUSPENSO EM MADEIRA - DESCRICAO: EM MADEIRA DE LEI, MEDINDO 0,60X1,51X0,40M"
83,4311,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: EM CURVA COM 6 GAVETAS MEDINDO 1,50X232 CM DE COMPRIMENTO"
84,4317,,28/07/2003 a 28/07/2004,,,,"MESA PARA REUNIAO  EM MELAMINIO - DESCRICAO: FORMATO OVAL , MEDINDO 2,30X1,20X0,74M NA CINZA."
85,4411,,28/11/2003 a 19/11/2004,PRINCE,,,MALETA PARA DOCUMENTOS
86,4450,,11/06/2004 a 09/06/2005,SHARP,EL-1801P,3D063245,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM"
87,4454,,11/06/2004 a 09/06/2005,SHARP,EL-1801P,3D05335Y,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM"
88,4457,,11/06/2004 a 09/06/2005,SHARP,EL-1801P,3D05333Y,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM"
89,4496,,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MELAMÍNIO, MEDINDO 1,60 X 0,68 X 0.74 M"
90,4565,,30/06/2004 a 28/06/2005,LUDNA,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: MAÇICA MEDINDO 160X76X74 COM 6 GAVETAS
91,4633,,06/07/2004 a 02/07/2005,PANDIM,,,ARQUIVO EM ACO - DESCRICAO: COM 4 GAVETAS
92,4647,,06/07/2004 a 01/07/2005,SMS,,008399-B,NO BREAK . - DESCRICAO: 1200 VA NET STATION
93,4659,,07/07/2004 a 07/07/2005,SPRINGER,,S2304B08759,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS
94,4660,,07/07/2004 a 07/07/2005,SPRINGER,,S2304B08761,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS
95,4665,,07/07/2004 a 07/07/2005,SPRINGER,,S2304B08647,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS
96,4880,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM 2 PORTAS MEDINDO 1,60X40X1.00."
97,4881,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM 2 PORTAS MEDINDO 1,60X40X1.00."
98,4889,,,,,,"ESTANTE EM ACO - DESCRICAO: COM 5 PRATELEIRAS, MED. 3,00X0,60X16M"
99,4892,,28/07/2004 a 27/07/2005,,,,EXTINTOR DE INCENDIO PÓ QUÍMICO PRESSURIZADO - DESCRICAO: 4 KG
100,4894,,,,,,"ESTANTE EM ACO - DESCRICAO: COM 5 PRATELEIRAS, MED. 3,00X0,60X16M"
101,4923,,,,,,CARRINHO COM BANDEIJA PLÁSTICA - DESCRICAO: ESTRUTURA EM AÇO NA COR PRETA
102,4945,,13/08/2004 a 01/08/2005,COBY,DVD-218,1233143439,DVD PLAYER
103,4965,,,,,,"BANCADA DE TRABALHO . - DESCRICAO: COM 3,00X0,50X0,82CM, RODÍZIO COM FREIOS, 16 TOMADAS FÊMEAS BIPOLAR E CABO COM TOMADA"
104,5002,,,GIOBEL,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM DUAS PORTAS NA COR CINZA - MEDINDO 0,90X0,44X1,60M."
105,5026,,20/09/2004 a 20/09/2004,DAIHATSU,TAIFF TURBO,,SECADOR DE CABELO PORTATIL
106,5045,,18/10/2004 a 15/04/2005,GIOBEL,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MELAMINIO, MED. 1,70X0,68X0,75"
107,5048,,28/10/2004 a 14/09/2004,PANASONIC,KX-FT71LA-B,4DBBA291130,APARELHO DE FAX
108,5049,,28/10/2004 a 14/09/2004,PANASONIC,KX-FT71LA-B,4DBBA292264,APARELHO DE FAX
109,5052,,28/10/2004 a 14/09/2004,PANASONIC,KX-FT71LA-B,4DBBA285337,APARELHO DE FAX
110,5056,,28/10/2004 a 14/09/2004,PANASONIC,KX-FT71LA-B,4DBBA292435,APARELHO DE FAX
111,5267,,02/12/2004 a 01/12/2005,SCHNEIDER,BC-92S HB,85070725300010,"MOTO BOMBA CENTRIFUGA - DESCRICAO: MONO-ESTÁGIO 1 1/2 CV/220V, SUCCÃO 1""1/4 E CHAVE DE COMANDO 1 1/2CV 220V"
112,5273,,16/12/2004 a 09/06/2005,,,,MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MADEIRA MEDINDO 120X075X060 COM 01 GAVETA PARA TECLADO
113,5330,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: COM 6 KG
114,5331,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: COM 6 KG
115,5507,,,,,,CADEIRA  GIRATÓRIA S/BRAÇOS - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA
116,5509,,,,,,CADEIRA  GIRATÓRIA S/BRAÇOS - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA
117,5521,,,,,,CADEIRA FIXA S/BRAÇO - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL
118,5526,,,,,,CADEIRA FIXA S/BRAÇO - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL
119,5612,,,,,,POLTRONA FIXA COM BRAÇO
120,5626,,,,,,MESA PARA REUNIÃO - DESCRICAO: EM FORMA REDONDA
121,5630,,,,,,MESA INTEGRADA - DESCRICAO: COM PAINEL FRONTAL E HORIZONTAL COM 4 SUPORTES PARA CPU
122,5740,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
123,5741,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
124,5760,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
125,5761,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
126,5762,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
127,5763,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
128,5790,,,,,,"BANCADA DE TRABALHO . - DESCRICAO: ESTRUTURA METALICA NA COR PRETA, COM TAMPO EM MELAMINIO BRANCO GELO, MED. 2,75X0,50X0,82, COM RODÍZIOS"
129,5807,,,,,,MESA EM MELAMINIO
130,5809,,,,,,"MESA INTEGRADA - DESCRICAO: TIPO U, COM 2 SUPORTES PARA CPU"
131,5887,,22/07/2005 a 22/07/2006,CADERODE,5012-03 + 5021,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.
132,5892,,22/07/2005 a 22/07/2006,CADERODE,5012-03 + 5021,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.
133,5906,,22/07/2005 a 22/07/2006,CADERODE,5012-03 + 5021,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.
134,5938,,,,,,"BALCAO EM MADEIRA - DESCRICAO: MACIÇA MEDINDO 3,95 X1,30X0,60M."
135,5947,,12/08/2005 a 12/08/2006,CONTINENTAL,,,FOGAO TIPO RESIDENCIAL - DESCRICAO: COM COM 04 BOCAS
136,5975,,,THEBE,,,MOTO BOMBA CENTRIFUGA - DESCRICAO: 1/2 CV COM SAÍDA 3/4
137,5992,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: 6 KG
138,6000,,,,,,"PRATELEIRA COM TAMPA - DESCRICAO: EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS"
139,6001,,,,,,"PRATELEIRA COM TAMPA - DESCRICAO: EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS"
140,6002,,22/12/2005 a 22/12/2006,SPRINGER,MCA105BB,2705897652,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 10.000BTUS DE 220WATS
141,6003,,22/12/2005 a 22/12/2006,SPRINGER,MCA105BB,2405897641,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 10.000BTUS DE 220WATS
142,6066,,24/02/2006 a 24/02/2008,IBM,,VG-32809,MONITOR DE VIDEO POLICROMATICO
143,6070,,24/02/2006 a 24/02/2008,IBM,,138775,TECLADO PARA MICROCOMPUTADOR
144,6159,,,IBM,,L1AK6DK,MICROCOMPUTADOR COM PROCESSADOR PENTIUM IV
145,6205,,22/04/2006 a 16/03/2009,IBM,,VR09028,MONITOR DE VIDEO POLICROMATICO
146,6307,,,GRADIENTE,DT-320,57U266729A5K,DVD PLAYER - DESCRICAO: PORTÁTIL
147,6308,,,DIGITEL,2G 3201,7802606,ROTEADOR PARA REDES
148,6315,,,CADERODE,,,GAVETEIRO VOLANTE EM MELAMINIO - DESCRICAO: COM 3 GAVETAS / CHAVES NA COR CINZA.
149,6323,,06/06/2006 a 20/04/2007,SONY,KV-34FS110,3002026,TELEVISOR EM CORES - DESCRICAO: 34 POLEGADAS
150,6328,,07/06/2006 a 01/03/2009,CISCO,2950T,FOC1002Z349,SWITCH  
151,6369,,30/08/2006 a 30/01/2007,GRADIENTE,D-203,25U289925H6E,DVD PLAYER
152,6379,,05/09/2006 a 29/01/2007,GARMIN,MAP 60CSX,,APARELHO DE GPS (SISTEMA DE POSICIONAMENTO GLOBAL) - DESCRICAO: NR. SÉRIE 74969798
153,6399,,,,,,"BALCAO PARA ATENDIMENTO - DESCRICAO: EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   COM DOIS  MÓDULOS"
154,6400,,,,,,"BALCAO PARA ATENDIMENTO - DESCRICAO: EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   -   COM  DOIS  MÓDULOS  ."
155,6463,,29/12/2006 a 12/12/2007,SPRINGER,SILENTIA,S2906B92329,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT, CAPACIDADE 12.000 BTUS."
156,6464,,29/12/2006 a 12/12/2007,SPRINGER,SILENTIA,S2906B92397,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT, CAPACIDADE 12.000 BTUS."
157,6468,,12/01/2007 a 22/06/2007,BROTHER,FAX-575,B6K957759,APARELHO DE FAX - DESCRICAO: - PAPEL PLANO
158,6496,,,SUL BASES,ANATÔMICA,,CADEIRA FIXA EM TECIDO - DESCRICAO: NA COR AZUL MARINHO
159,6500,,,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA - DESCRICAO: NA COR AZUL MARINHO
160,6503,,,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA - DESCRICAO: NA COR AZUL MARINHO
161,6536,,13/03/2007 a 13/03/2008,AOC,,T7P71904926,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
162,6541,,13/03/2007 a 13/03/2008,AOC,,T7CP71A902516,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
163,6545,,13/03/2007 a 13/03/2008,AOC,LM722,T7CP71A904800,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
164,6548,,13/03/2007 a 13/03/2008,AOC,LM722,T7CP71A904641,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
165,6550,,13/03/2007 a 13/03/2008,AOC,LM722,T7CP71A902841,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
166,6551,,13/03/2007 a 13/03/2008,AOC,LM722,T7CP71A904492,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
167,6576,,16/04/2007 a 16/04/2008,APC,SURTA 3000XL,JS0646014603,NO BREAK . - DESCRICAO: 3KVA/ 1.8 KW PARA RACK 19
168,6579,,16/04/2007 a 16/04/2008,APC,SURTA 3000XL,JS0646014605,NO BREAK . - DESCRICAO: 3KVA/ 1.8 KW PARA RACK 19
169,6581,,04/06/2007 a 30/11/2007,KARSECT,KRU-302,KRU302070306577,RECEPTOR DE MICROFONE - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM
170,6583,,07/05/2007 a 03/05/2008,FRAHM,PS 500,,CAIXA ACUSTICA - DESCRICAO: DE 75 W.
171,6584,,07/05/2007 a 03/05/2008,FRAHM,PS 500,,CAIXA ACUSTICA - DESCRICAO: DE 75 W.
172,6595,,20/05/2007 a 16/02/2008,MOBRAN,SECRETÁRIO,,ESTAÇÃO DE TRABALHO C/ UM MÓDULO - TIPO SECRETÁRIO - DESCRICAO: MEDINDO 135 X 135 X 060 X 060 X 074CM
173,6652,,20/05/2007 a 16/02/2008,MOBRAN,PADRÃO,,"ARMARIO ALTO - C/ DUAS PORTAS DE CORRER - DESCRICAO: MEDINDO 090CM DE LARG., 050CM DE PROF. E 163CM DE ALTURA"
174,6810,,04/06/2007 a 30/11/2007,KARSECT,KST-5U,KST5U070306577/1,MICROFONE SEM FIO - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM
175,6811,,04/06/2007 a 30/11/2007,KARSECT,KST-5U,KST5U070306577/2,MICROFONE SEM FIO - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM
176,6814,,22/06/2007 a 19/06/2008,SONY,CYBER-SHOT DSC-S650,S01-0248275-E,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 7.2 MEGA PIXELS, COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 2.0"
177,6815,,22/06/2007 a 19/06/2008,SONY,CYBER-SHOT DSC-S650,S01-024874-E,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 7.2 MEGA PIXELS, COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 2.0"
178,6834,,09/07/2007 a 02/07/2008,GREE,GJ21,143347000894,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 21.000 BETUS
179,6837,,09/07/2007 a 02/07/2008,GREE,GJ21,1433460002395,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 21.000 BETUS
180,6844,,17/08/2007 a 17/08/2008,HITACHI,SPLIT,150013,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: DE 30.000 BTÚS. CONDENSADORA    SÉRIE-471965
181,6851,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
182,6852,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
183,6854,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
184,6855,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
185,6856,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
186,6857,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
187,6858,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
188,6967,,,MITRA,,,"CINZEIRO LIXEIRA - DESCRICAO: INOX MEDINDO 0,30 CM DIAMETRO X 0,70 CM ALTURA ."
189,6968,,,MITRA,,,"CINZEIRO LIXEIRA - DESCRICAO: INOX MEDINDO 0,30 CM DIAMETRO X 0,70 CM ALTURA ."
190,6976,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS
191,6979,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS
192,6984,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS
193,7044,,15/04/2008 a 14/04/2009,PLANTRONICS,CT 12,74052541,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ
194,7045,,15/04/2008 a 14/04/2009,PLANTRONICS,CT 12,74052987,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ
195,7046,,15/04/2008 a 14/04/2009,PLANTRONICS,CT 12,74054438,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ
196,7052,,,BROTHER,FAX-575,U61361L7K900370,APARELHO DE FAX - DESCRICAO: PAPEL A4
197,7053,,,CCE,700USX,JMC3688FGTNI00GBA,DVD PLAYER - DESCRICAO: COM CONTROLE
198,7073,,15/05/2008 a 15/05/2008,WACUM,GTE-650,71P000714,MESA DIGITAL - DESCRICAO: DE 6X8
199,7079,,30/05/2008 a 30/05/2008,GREE,,1433460002386,"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTU´S, TENSÃO 220 V"
200,7097,,20/06/2008 a 16/06/2009,EPSON,EMP-X5,JX8F822302L,PROJETOR MULTIMIDIA - DESCRICAO: RESOLUÇÃO NATIVA XGA (1024 X 768)
201,7102,,25/06/2008 a 20/06/2009,HP,G2710,CN82PA52RW,SCANNER DE MESA - DESCRICAO: FOTOGRÁFICO SCANJET
202,7103,,25/06/2008 a 20/06/2009,HP,G2710,CN82RA53SY,SCANNER DE MESA - DESCRICAO: FOTOGRÁFICO SCANJET
203,7115,,15/07/2008 a 09/07/2010,MELCOM,ST-P101A,2007048812,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE
204,7160,,31/07/2008 a 11/03/2011,TRELLIS,M56K,773559-8,MODEM . - DESCRICAO: EXTERNO 56K
205,7185,,30/07/2008 a 24/07/2009,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: TIPO DIRETOR, COM BRAÇOS, ESPALDAR MÉDIO"
206,7187,,30/07/2008 a 24/07/2009,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
207,7191,,30/07/2008 a 24/07/2009,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
208,7192,,30/07/2008 a 24/07/2009,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
209,7194,,30/07/2008 a 24/07/2009,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
210,7215,,30/08/2008 a 04/08/2009,ADATTARE,ADATTARE,,ARMÁRIO ALTO EXECUTIVO  - C/ DUAS PORTAS DE CORRER - DESCRICAO: MEDINDO 90X50X163
211,7246,,15/08/2008 a 15/08/2009,MOBILE,MOBILE,,BALCAO DE ATENDIMENTO - EM MDF SOB MEDIDA - DESCRICAO: BALCÃO DE ATENDIMENTO
212,7248,,15/08/2008 a 15/08/2009,MOBILE,MOBILE,,SUPORTE SUPORTE PARA CPU - DESCRICAO: SUPORTE PARA CPU
213,7249,,15/08/2008 a 15/08/2009,MOBILE,MOBILE,,SUPORTE SUPORTE PARA CPU - DESCRICAO: SUPORTE PARA CPU
214,7265,,30/08/2008 a 05/08/2009,ELECTROLUX,,80614403,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 30.000 BTUS
215,7272,,10/09/2008 a 10/09/2009,SAMSUNG,S860,A07DC90Q703666D,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
216,7273,,10/09/2008 a 10/09/2009,SAMSUNG,S860,A08AC90Q709728T,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
217,7275,,10/09/2008 a 10/09/2009,SAMSUNG,S860,A08AC90Q707618R,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
218,7277,,10/09/2008 a 10/09/2009,SAMSUNG,S860,A07DC90Q703386E,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
219,7279,,10/09/2008 a 10/09/2009,SAMSUNG,S860,A08AC90Q709696L,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
220,7296,,27/02/2008 a 11/01/2009,KOMECO,SPLIT,C101001240907A121206,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: MINI-CENTRAL DE AR CONDICIONADO SPLIT, 12.000 BTUS KOS 12 FC-G2B"
221,7346,,13/10/2008 a 10/10/2009,SMS,NET4+,272510008730,NO BREAK . - DESCRICAO: 1.4 KVA.
222,7393,,18/09/2008 a 15/09/2008,LENOVO,THINKCENTRE M57P,L1AK2RD,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
223,7394,,18/09/2008 a 15/09/2008,LENOVO,THINKCENTRE M57P,L1AK0YT,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
224,7399,,18/09/2008 a 15/09/2008,LENOVO,THINKCENTRE M57P,L1AK0ZH,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
225,7402,,18/09/2008 a 15/09/2008,LENOVO,THINKCENTRE M57P,L1AK3GB,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
226,7420,,07/10/2008 a 01/10/2009,AOC,718SWAG-1,K3085CA002890,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS."
227,7429,,07/10/2008 a 01/10/2009,AOC,177SA-1,98676CA000010,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS."
228,7433,,07/10/2008 a 01/10/2009,AOC,177SA-1,98676CA001657,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS."
229,7454,,07/10/2008 a 07/10/2009,ELGIN,,8000362,CALCULADORA  ELETRONICA - DESCRICAO: DE MESA COM VISOR E IMPRESSORA.
