ITEM,ZONA,DESCRIÇÃO DO DOCUMENTO,DT-INICIO,DT-FIM,GUARDA,UNID. TEMPO,DESTINAÇÃO,QUANTIDADE,CONSERVAÇÃO,DESCRICAO,DT_PROC,EVENTO
14,3,Ofícios recebidos: Cartório - Juízo,,2014,5,ano,Eliminação,1 Caixa Bambox - (Caixa: Referência157),Satisfatório,Outro,30/05/2022,499113
15,3,Aviso de Recebimento,,2014,2,ano,Eliminação,1 Caixa Bambox - (Caixa: Referência 157),Satisfatório,Outro,30/05/2022,499113
16,3,Declarações de Folga dos Mesários,,2012,1,Critério ZE,Eliminação,1 pasta,Satisfatório,Outro,30/05/2022,499113
17,3,Atas das Mesas Receptora de Votos - Manoel Urbano e Santa Rosa do Purus,,2012,5,ano,Eliminação,1 pasta,Satisfatório,Outro,30/05/2022,499113
18,3,Requerimento de mesários,,2012,0,em vigor,Eliminação,1 pasta,Satisfatório,Outro,30/05/2022,499113
19,3,Mandados Expedidos - Ofícios Expedidos,,2014,0,em vigor,Eliminação,1 Pasta- (Caixa: Referência156),Satisfatório,Outro,30/05/2022,499113
20,3,Editais,,2014,0,até processar,Eliminação,1 Pasta- (Caixa: Referência 156),Satisfatório,Outro,30/05/2022,499113
21,3,Cartas Precatórias - Comunicados de Desfiliação - Declaração de Trabalho de Mesários,,2014,0,ano,Eliminação,1 Pasta- (Caixa: Referência 155),Satisfatório,Outro,30/05/2022,499113
22,3,Documentos retirados do mural,2014,2015,60,dias,Eliminação,1 Pasta- (Caixas: Referência 155 e 174),Satisfatório,Outro,30/05/2022,499113
23,3,Livro Sentença - Livro Ata - Mandados Expedidos - Editais,,2015,0,em vigor,Eliminação,1 Pasta- (Caixa: Referência 174),Satisfatório,Outro,30/05/2022,499113
24,3,Certidões Expedidas - Ofícios Expedidos - Ofícios Circular Expedidos - Portaria Expedidas - Portarias Recebidas,,2019,5,ano,Eliminação,1 Pasta- (Caixa: Referência158),Satisfatório,Outro,30/05/2022,499113
25,3,Ofícios Expedidos Cartório - Ofícios Expedidos Juízo,,2008,5,ano,Eliminação,1 Pasta,Satisfatório,Outro,30/05/2022,499113
26,3,Disquetes de Seções - 58 - 72 - 77 - 65 - 60 - 76 - 59 - 51 - 52 - 43 - 49 - 46 - 45 - 41 - 42 - 44 - 48 - 42 e 50,,2006,60,dias,Eliminação,18 envelopes,Satisfatório,Outro,30/05/2022,499113
27,3,Zerézima - Boletim de Urna e Boletim de Justificativa Eleitoral,,2006,0,até processar,Eliminação,1 Caixa,Satisfatório,Outro,30/05/2022,499113
28,3,Relatórios de UE - Disquete e Cartão de memória da VPRE da Seção 72 - Disquete e Cartão de memória da VPRE da Seção 59 - Disquete e Cartão de memória da VPRE da Seção 1,,2006,90,dias,Encaminhar SLUE,3 envelopes,Satisfatório,Outro,30/05/2022,499113
29,3,Ata das Mesas Receptora de Votos - Referendo 2005,,2005,5,ano,Eliminação,1 Caixa,Satisfatório,Outro,30/05/2022,499113
1,6,Requerimento de Alistamento Eleitoral (RAE),,2014,5,ano,Eliminação,Lote 01/2014 ao Lote 109/2014,Satisfatório,Outro,30/05/2022,499300
2,6,Requerimento de Alistamento Eleitoral (RAE),,2015,5,ano,Eliminação,Lote 01/2015 ao Lote 207/2015,Satisfatório,Outro,30/05/2022,499300
3,6,Requerimento de Alistamento Eleitoral (RAE),,2016,5,ano,Eliminação,Lote 01/2016 ao Lote 102/2016,Bom,Outro,30/05/2022,499300
4,6,Protocolo de entrega de títulos eleitorais (PETE),,2014,5,ano,Eliminação,Lote 01/2014 ao Lote 109/2014,Satisfatório,Outro,30/05/2022,499300
5,6,Protocolo de entrega de títulos eleitorais (PETE),,2015,5,ano,Eliminação,Lote 01/2015 ao Lote 207/2015,Satisfatório,Outro,30/05/2022,499300
6,6,Protocolo de entrega de títulos eleitorais (PETE),,2016,5,ano,Eliminação,Lote 01/2016 ao Lote 102/2016,Bom,Outro,30/05/2022,499300
7,6,Guias de multas (GRUs) pagas,2015,2016,5,ano,Eliminação,3 caixas,Bom,Outro,30/05/2022,499300
8,6,Fax e e-mails (recebidos e expedidos),2005,2008,2,ano,Eliminação,2 caixas,Satisfatório,Outro,30/05/2022,499300
9,6,Justificativas Eleitorais,2012,2014,0,próximo pleito,Eliminação,2 caixas,Bom,Outro,30/05/2022,499300
9,6,Justificativas Eleitorais,2016,2018,0,próximo pleito,Eliminação,2 caixas,Bom,Outro,30/05/2022,499300
10,6,Manual do Mesário,2020,2020,0,em vigor,Eliminação,66 manuais,Bom,Outro,30/05/2022,499300
11,6,Comprovantes de postagens (SEDEX,,2008,4,ano,Eliminação,1 caixa,Satisfatório,Outro,30/05/2022,499300
12,6,Cadernos de Votação - Revisão Eleitoral de Assis Brasil,,2003,8,ano,Eliminação,13 cadernos,Satisfatório,Outro,30/05/2022,499300
13,6,Cadernos de Votação - Referendo - Epitaciolândia e Assis Brasil,,2005,8,ano,Eliminação,17 cadernos,Satisfatório,Outro,30/05/2022,499300
14,6,Cadernos de Votação - Eleições 2006 - Epitaciolância,,2006,8,ano,Eliminação,2 cadernos,Satisfatório,Outro,30/05/2022,499300
15,6,Cadernos de Votação - Referendo - Epitaciolândia,,2010,8,ano,Eliminação,17 cadernos,Satisfatório,Outro,30/05/2022,499300
16,6,Cadernos de Votação - Eleições 2012 - Epitaciolância,,2012,8,ano,Eliminação,173 cadernos,Satisfatório,Outro,30/05/2022,499300
1,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2010,5,ano,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
2,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2011,5,ano,Eliminação,3 CAIXAS,Bom,Outro,30/05/2022,440611
3,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2012,5,ano,Eliminação,19 CAIXAS,Bom,Outro,30/05/2022,440611
4,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2013,5,ano,Eliminação,6 CAIXAS,Bom,Outro,30/05/2022,440611
5,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2014,5,ano,Eliminação,3 CAIXAS,Bom,Outro,30/05/2022,440611
6,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2015,5,ano,Eliminação,7 CAIXAS,Bom,Outro,30/05/2022,440611
7,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2016,5,ano,Eliminação,14 CAIXAS,Bom,Outro,30/05/2022,440611
8,9,REQUERIMENTOS DE ALISTAMENTO ELEITORAL,,2017,5,ano,Eliminação,7 CAIXAS,Bom,Outro,30/05/2022,440611
9,9,CADERNOS DE VOTAÇÃO – ELEIÇÕES 2010 – CADERNOS 11 À 25 (1º TURNO),,2010,8,ano,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
10,9,CADERNOS DE VOTAÇÃO – ELEIÇÕES 2010 – CADERNOS 86 À 99 (1º TURNO),,2010,8,ano,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
11,9,IMPRESSÕES DIVERSAS,1998,2000,0,à Critério,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
12,9,IMPRESSÕES DIVERSAS,,2012,0,à Critério,Eliminação,2 CAIXAS,Bom,Outro,30/05/2022,440611
13,9,ZERÉSIMA – ELEIÇÕES GERAIS 2014 (1º TURNO) RBR/AC,,2014,0,até processar,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
14,9,ZERÉSIMA – ELEIÇÕES GERAIS 2014 (2º TURNO) RBR/AC,,2014,0,até processar,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
15,9,SUBSTITUIÇÕES – MESÁRIOS,,2016,0,até processar,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
16,9,MESÁRIOS ELEIÇÕES – BUJARI,,2014,0,até processar,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
17,9,MULTAS ELEITORAIS – GRU (DIVERSAS ZONAS),,2014,5,ano,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
18,9,MULTAS ELEITORAIS,,2015,5,ano,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
19,9,MULTAS ELEITORAIS,,2016,5,ano,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
20,9,JUSTIFICATIVAS – ELEIÇÕES GERAIS (1º E 2º TURNO) RBR/AC,,2014,0,próximo pleito,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
21,9,JUSTIFICATIVAS – ELEIÇÕES (1º TURNO),,2016,0,próximo pleito,Eliminação,1 CAIXA,Bom,Outro,30/05/2022,440611
1,9,Oficio n. 064/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
2,9,Oficio n. 02/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
3,9,Oficio n. 01/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
4,9,Oficio n. 003/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
5,9,Oficio n. 004/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
6,9,Oficio n. 005/CE,,2009,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
7,9,Oficio n. 006/CE,,2009,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
8,9,Oficio n. 007/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
9,9,Oficio n. 008/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
10,9,Oficio n. 009/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
11,9,Oficio n 10/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
12,9,Oficio n. 11/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
13,9,Oficio n. 12/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
14,9,Oficio n. 013/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
15,9,Oficio n. 014/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
16,9,Oficio n. 015/CE,,2009,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
17,9,Oficio n. 016/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
18,9,Oficio n. 017/CE,,2009,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
19,9,Oficio n. 018/CE,,2009,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
20,9,Oficio n. 19/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
21,9,Oficio n. 020/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
22,9,Oficio n. 021/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
23,9,Oficio n. 022/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
24,9,Oficio n. 023/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
25,9,Oficio n. 024/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
26,9,Oficio n. 025/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
27,9,Oficio n. 026/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
28,9,Oficio n. 027/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
29,9,Oficio n. 028/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
30,9,Oficio n. 030/CE,,2009,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
31,9,Oficio n. 031/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
32,9,Oficio n. 032/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
33,9,Oficio n. 033/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
34,9,Oficio n. 034/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
35,9,Oficio n. 035/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
36,9,Oficio n. 036/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
37,9,OF N. 37/CE,,2008,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
38,9,Oficio n. 038/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
39,9,Oficio n. 039/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
40,9,Oficio n. 040/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
41,9,Oficio n. 041/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
42,9,Oficio n. 042/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
43,9,Oficio n. 043/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
44,9,Oficio n. 043/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
45,9,Oficio n. 044/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
46,9,Oficio n. 045/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
47,9,Oficio n. 047/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
48,9,Oficio n. 048/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
49,9,Oficio n. 049/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
50,9,Oficio n. 050/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
51,9,Oficio n. 051/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
52,9,Ofício n. 052/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
53,9,Oficio n. 053/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
54,9,Oficio n. 054/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
55,9,Oficio n. 055/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
56,9,Oficio n. 056/JE,,2009,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
57,9,Oficio n. 057/JE,,2009,2,ano,Eliminação,8,Bom,Outro,30/05/2022,484647
58,9,Oficio n. 058/JE,,2009,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
59,9,Oficio n. 059/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
60,9,Oficio n. 060/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
61,9,Oficio n. 061/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
62,9,Oficio n. 062/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
63,9,Oficio n. 063/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
64,9,Oficio n. 065/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
65,9,Oficio n. 066/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
66,9,Oficio n. 067/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
67,9,Oficio n. 068/CE,,2009,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
68,9,Oficio n. 69/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
69,9,Oficio n. 070/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
70,9,Oficio n. 071/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
71,9,Oficio n. 072/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
72,9,Oficio n. 073/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
73,9,Oficio n. 074/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
74,9,Oficio n. 075/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
75,9,Oficio n. 076/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
76,9,Oficio n. 077/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
77,9,Oficio n. 078/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
78,9,Oficio n. 079/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
79,9,Oficio n. 080/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
80,9,Oficio n. 081/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
81,9,Oficio n. 082/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
82,9,Oficio n. 083/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
83,9,Oficio n. 084/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
84,9,Oficio n. 092/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
85,9,Oficio n. 093/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
86,9,Oficio n. 100/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
87,9,Oficio n. 100/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
88,9,Oficio n. 101/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
89,9,Oficio n. 102/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
90,9,Oficio n. 103/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
91,9,Oficio n. 104/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
92,9,Oficio n. 046/CE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
93,9,Oficio n. 01/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
94,9,Oficio n. 02/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
95,9,Oficio n.003/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
96,9,Oficio n. 004/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
97,9,Oficio n. 005/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
98,9,Oficio n. 006/JE,,2008,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
99,9,Oficio n. 007/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
100,9,Oficio n. 008/SE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
101,9,Oficio n. 009/JE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
102,9,Oficio n. 010/JE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
103,9,Oficio n. 011/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
104,9,Oficio n. 012/JE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
105,9,Oficio n. 013/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
106,9,Oficio n. 014/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
107,9,Oficio n. 015/JE,,2009,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
108,9,Oficio n. 016/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
109,9,Oficio n. 017/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
110,9,Oficio n. 018/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
111,9,Oficio n. 019/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
112,9,Oficio 11. 020/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
113,9,Oficio n. 021/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
114,9,Oficio n. 022/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
115,9,Oficio n. 022/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
116,9,Oficio n.023/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
117,9,Oficio n. 023/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
118,9,Oficio n. 024/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
119,9,Oficio n. 025/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
120,9,Oficio n. 026/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
121,9,Oficio n. 027/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
122,9,Oficio n. 028/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
123,9,Oficio n. 029/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
124,9,Oficio n. 030/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
125,9,Oficio n. 031/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
126,9,Oficio n. 032/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
127,9,Oficio n. 035/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
128,9,Oficio n. 037/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
129,9,Oficio n. 038/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
130,9,Oficio n. 040/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
131,9,Oficio n. 41 /GABJU,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
132,9,Oficio n. 42/GABJU,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
133,9,Oficio n. 043/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
134,9,Oficio n. 044/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
135,9,Oficio n. 045/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
136,9,OF. EJCF/N. 024/2010,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
137,9,OF/SEPE5 N 96,,2009,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
138,9,OFICIO COMINUCAÇÃO FALTA DE BEM,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
139,9,Oficio n. 016/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
140,9,Oficio n. 001/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
141,9,Oficio n. 001/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
142,9,Oficio n. 002/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
143,9,Oficio n. 002/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
144,9,Oficio n. 003/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
145,9,Oficio n. 003/GJ,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
146,9,Oficio n. 004/CE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
147,9,Oficio n. 004/GJ,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
148,9,Oficio n. 005/2010,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
149,9,Oficio n. 005/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
150,9,Oficio n 06-09-0065162,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
151,9,Oficio n06-09-0065351,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
152,9,Oficio n. 006/2010,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
153,9,Oficio n. 006/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
154,9,Oficio n. 07/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
155,9,Oficio n. 007/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
156,9,Oficio n. 007/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
157,9,Oficio n. 08/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
158,9,Oficio n. 008/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
159,9,Oficio n. 09/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
160,9,Oficio n. 009/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
161,9,Oficio n. 10/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
162,9,Oficio n. 010/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
163,9,Oficio n. 11/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
164,9,Oficio n. 011/JE,,2010,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
165,9,Oficio n. 12/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
166,9,Oficio n. 012/JE,,2010,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
167,9,Oficio n. 012/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
168,9,Oficio n. 013/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
